,s3ic_id,rubrique,regime,alinea,date_autorisation,state,regime_acte,alinea_acte,rubrique_acte,activite,volume,unit
2094,0065.02906,1434,A,2,1987-05-13,En fonctionnement,A,2,1434,Liquides inflammables (remplissage ou distribution) autres que 1435,50.000,m3/h
2095,0065.02951,47xx,,,,En fonctionnement,,,47xx,,,
2096,0065.02951,1611,,,2001-04-06,En fonctionnement,,,1611,"ACIDE ACETIQUE, CHLORHYDRIQUE, FORMIQUE,ETC (EMPLOI OU STOCKAGE)",5.000,m3
2097,0065.02951,1432,,,2009-06-19,En fonctionnement,,,1432,Liquides inflammables (stockage),2.000,m3
2098,0065.02951,2710,D,b,,En fonctionnement,D,2c,2710,collecte de déchets non dangereux-DC,210.000,m3
2099,0065.02951,4510,D,2,2011-07-01,En fonctionnement,D,3,1172,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
2100,0065.02951,2710,D,b,,En fonctionnement,D,b,2710,collecte de déchets non dangereux-DC,210.000,m3
2101,0065.02951,1435,,,2011-07-01,En fonctionnement,,,1435,Stations service,8.000,m3
2102,0065.02951,2710,D,b,,En fonctionnement,D,1b,2710,collecte de déchets dangereux-DC,4.330,t
2103,0065.02951,2791,A,1,2011-07-01,En fonctionnement,A,1,2791,Déchets non dangereux (traitement),40.000,t/j
2104,0065.02951,2771,A,,2011-07-01,En fonctionnement,A,,2771,Traitement thermique de déchets non dangereux,137900.000,t
2105,0065.02951,2713,,,2011-07-01,En fonctionnement,,,2713,"Transit, regroupement ou tri de métaux ou de déchets de métaux non dangereux",90.000,m2
2106,0065.02951,3520,A,a,,En fonctionnement,A,a,3520,pour les déchets non dangereux,8.900,t/h
2107,0065.02951,2714,E,1,2011-07-01,En fonctionnement,E,1,2714,"déchets non dangereux de papiers, plastiques, bois,… (transit) hors 2710,2711 et 2719",3920.000,m3
2108,0065.02951,2716,,,,En fonctionnement,,,2716,"Transit, regroupement ou tri de déchets non dangereux non inertes",90.000,m3
2109,0065.02951,4511,D,2,,En fonctionnement,D,2,4511,Dangereux pour l'environnement aquatique de catégorie chronique 2,,
2111,0065.02951,1630,,,2009-06-19,En fonctionnement,,,1630,Emploi ou stockage de lessives de soude ou de potasse caustique,5.000,m3
2112,0065.02956,2565,D,b,2003-05-30,En fonctionnement,D,2b,2565,Traitement de surface,730.000,L
2113,0065.02956,2575,D,,2003-05-30,En fonctionnement,D,,2575,Emploi de matières abrasives,31.250,kW
2114,0065.02956,2552,A,1,2003-05-30,En fonctionnement,A,1,2552,Fonderie (fabrication de produits moulés) métaux et alliages non ferreux,3.000,t/j
2115,0065.02956,2560,D,2,2003-05-30,En fonctionnement,D,2,2560,"Supérieure à 150 kW, mais inférieure ou égale à 1 000 kW",315.000,kW
2116,0065.02956,2910,D,2,2003-05-30,En fonctionnement,D,A2,2910,Combustion,2.400,MW
2117,0065.02959,4140,,1,2010-12-10,En fonctionnement,,1,4140,Toxicité aiguë catégorie 3 pour la voie d'exposition orale,,
2118,0065.02959,47xx,,,,En fonctionnement,,,47xx,,,
2119,0065.02959,4130,,2,2010-12-10,En fonctionnement,,2,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
2120,0065.02959,4130,,1,2010-12-10,En fonctionnement,,1,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
2121,0065.02959,4120,,2,2010-12-10,En fonctionnement,,2,4120,Toxicité aiguë catégorie 2,,
2122,0065.02959,2710,D,b,2010-04-11,En fonctionnement,D,2c,2710,collecte de déchets non dangereux-DC,299.000,m3
2123,0065.02959,4120,,1,2010-12-10,En fonctionnement,,1,4120,Toxicité aiguë catégorie 2,,
2124,0065.02959,2260,E,a,2010-12-10,En fonctionnement,A,2a,2260,Supérieure à 500 kW,780.000,kW
2125,0065.02959,4110,,2,2010-12-10,En fonctionnement,,2,4110,Toxicité aiguë catégorie 1,,
2126,0065.02959,4110,,1,2010-12-10,En fonctionnement,,1,4110,Toxicité aiguë catégorie 1,,
2127,0065.02959,2175,D,,2010-12-10,En fonctionnement,,,2175,Dépôts d'engrais liquides,99.000,m3
2128,0065.02959,2718,D,2,2011-04-11,En fonctionnement,D,2,2718,Déchets dangereux ou contenant des substances ou préparations dangereuses (transit ou tri),0.990,t
2130,0065.02959,2710,,1,2010-04-11,En fonctionnement,,1,2710,Installations de collecte de déchets,0.990,t
2131,0065.02959,2710,D,b,,En fonctionnement,D,b,2710,collecte de déchets non dangereux-DC,299.000,m3
2132,0065.02959,4511,,,,En fonctionnement,,,4511,Dangereux pour l’environnement aquatique 2,,
2133,0065.02959,4510,,,,En fonctionnement,,,4510,Dangereux pour l’environnement aquatique 1,,
2134,0065.02959,4140,,2,2010-12-10,En fonctionnement,,2,4140,Toxicité aiguë catégorie 3 pour la voie d'exposition orale,,
2135,0065.02959,2160,A,a,2010-12-10,En fonctionnement,A,2a,2160,Silos autres que plats autorisés,144224.000,m3
2136,0065.02959,4150,,,,En fonctionnement,,,4150,Toxicité spécifique pour certains organes cibles,,
2137,0065.02966,2260,A,1,2006-01-05,En fonctionnement,A,1,2260,"BROYAGE, CONCASSAGE, CRIBLAGE, ETC DES SUBSTANCES VEGETALES",1200.000,kW
2138,0065.02966,1510,E,b,2006-01-05,En fonctionnement,D,2,1510,Entrepot enregistré,12300.000,m3
2139,0065.02966,2160,D,b,2006-01-05,En fonctionnement,D,1b,2160,silos autres que plats DC,9137.000,m3
2140,0065.02966,1434,,,2006-01-05,En fonctionnement,,,1434,Installations de remplissage ou de distribution de liquides inflammables,0.600,m3
2141,0065.02966,1432,,,2006-01-05,En fonctionnement,,,1432,Liquides inflammables (stockage),3.600,m3
2142,0065.02969,2710,,1,2010-01-06,En fonctionnement,,1,2710,Installations de collecte de déchets,0.990,t
2143,0065.02969,2710,D,b,2010-07-21,En fonctionnement,D,2c,2710,collecte de déchets non dangereux-DC,299.000,m3
2144,0065.02969,2718,D,2,2010-07-21,En fonctionnement,D,2,2718,Déchets dangereux ou contenant des substances ou préparations dangereuses (transit ou tri),0.990,t
2145,0065.02969,2260,A,2a,2010-01-06,En fonctionnement,A,2a,2260,"Broyage, concassage, criblage, etc des substances végétales",780.000,kW
2146,0065.02969,4140,,2,,En fonctionnement,,2,4140,Toxicité aiguë catégorie 3 pour la voie d'exposition orale,,
2147,0065.02969,2160,A,a,2010-01-06,En fonctionnement,A,2a,2160,Silos autres que plats autorisés,66640.000,m3
2148,0065.02969,4511,,,,En fonctionnement,,,4511,Dangereux pour l’environnement aquatique 2,,
2149,0065.02969,47xx,,,,En fonctionnement,,,47xx,,,
2150,0065.02969,4130,,1,2010-01-06,En fonctionnement,,1,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
2151,0065.02969,4120,,2,2010-01-06,En fonctionnement,,2,4120,Toxicité aiguë catégorie 2,,
2152,0065.02969,4110,,2,2010-01-06,En fonctionnement,,2,4110,Toxicité aiguë catégorie 1,,
2153,0065.02969,4510,D,2,2010-07-21,En fonctionnement,D,2,4510,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
2154,0065.02969,4140,,1,,En fonctionnement,,1,4140,Toxicité aiguë catégorie 3 pour la voie d'exposition orale,,
2155,0065.02969,4110,,1,,En fonctionnement,,1,4110,Toxicité aiguë catégorie 1,,
2156,0065.02969,4120,,1,2010-01-06,En fonctionnement,,1,4120,Toxicité aiguë catégorie 2,,
2157,0065.02969,4130,,2,,En fonctionnement,,2,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
2158,0065.02969,4150,,,,En fonctionnement,,,4150,Toxicité spécifique pour certains organes cibles,,
2160,0065.02969,2910,D,2,2010-01-06,En fonctionnement,D,A2,2910,Combustion,11.400,MW
2161,0065.02974,3642,A,a,2010-11-25,En fonctionnement,A,1,2260,Production d'aliments à partir de matières premières végétales - capacité > 300 t/j,500.000,t/j
2162,0065.02974,2915,D,2,2010-11-25,En fonctionnement,D,2,2915,Chauffage (procédé de) fluide caloporteur organique combustible,900.000,L
2163,0065.02974,2160,D,b,2010-11-25,En fonctionnement,D,2b,2160,silos autres que plats DC,9775.000,m3
2164,0065.02974,1510,,,2010-11-25,En fonctionnement,,,1510,Entrepôts couverts,455.000,t
2165,0065.02974,2910,,A,2010-11-25,En fonctionnement,,A,2910,Combustion,1.996,MW
2166,0065.02974,3642,A,a,,En fonctionnement,A,2,3642,Production d'aliments à partir de matières premières végétales - capacité > 300 t/j,500.000,t/j
2167,0065.02974,2920,D,2b,2010-11-25,En fonctionnement,D,2b,2920,Réfrigération ou compression (installation de) pression >10E5 Pa,348.700,kW
2168,0065.02974,2925,D,1,2010-11-25,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,49.900,kW
2169,0065.03032,2160,A,a,2010-12-13,En fonctionnement,A,a,2160,Silos autres que plats autorisés,85500.000,m3
2170,0065.03032,2260,,,2010-12-13,En fonctionnement,,,2260,"Broyage, concassage, criblage ... des substances végétales et produits organiques naturels",60.400,kW
2171,0065.03032,1435,,,2010-12-13,En fonctionnement,,,1435,Stations service,3.500,m3
2172,0065.03032,2910,D,2,2010-12-13,En fonctionnement,D,A2,2910,Combustion,2.920,MW
2173,0065.03032,1418,,,2010-12-13,En fonctionnement,,,1418,Acétylène (stockage ou emploi),21.000,kg
2174,0065.03032,2171,D,,2010-12-13,En fonctionnement,D,,2171,"Dépôts de fumiers, engrais et supports de culture",4000.000,m3
2175,0065.03032,2920,D,2b,2010-12-13,En fonctionnement,D,2b,2920,Réfrigération ou compression (installation de) pression >10E5 Pa,211.000,kW
2176,0065.03032,1432,,,2010-12-13,En fonctionnement,,,1432,Liquides inflammables (stockage),0.600,m3
2177,0065.03032,1220,,,2010-12-13,En fonctionnement,,,1220,Oxygène (emploi et stockage),90.000,kg
2178,0065.03032,1412,,,2010-12-13,En fonctionnement,,,1412,Gaz inflammables liquéfiés (stockage),260.000,kg
2179,0065.03042,2662,D,2,,En fonctionnement,D,3,2662,Stockage de polymères D,850.000,m3
2180,0065.03042,1510,E,b,1997-01-08,En fonctionnement,E,2,1510,Entrepot enregistré,124295.000,m3
2181,0065.03066,2712,E,1,1987-08-06,En fonctionnement,A,,286,"Stockage, dépollution, démontage,… de VHU",1990.000,m2
2182,0065.03069,47xx,,,,En fonctionnement,,,47xx,,,
2184,0065.03069,2790,A,,,En fonctionnement,A,2,2790,Traitement de déchets dangereux,200000.000,
2185,0065.03069,3531,A,,2014-01-24,En fonctionnement,A,,3531,Elimination de déchets non dangereux,50.000,t/j
2187,0065.03069,3540,A,1,2014-01-24,En fonctionnement,A,,3540,Installation de stockage de déchets de plus de 25 000 t de capacité,250000.000,t/j
2188,0065.03069,2718,A,1,,En fonctionnement,A,1,2718,Déchets dangereux ou contenant des substances ou préparations dangereuses (transit ou tri),202800.000,t
2189,0065.03069,2718,A,1,,En fonctionnement,A,,2717,Déchets dangereux ou contenant des substances ou préparations dangereuses (transit ou tri),45000.000,t
2190,0065.03069,3532,A,,2014-01-24,En fonctionnement,A,,3532,Valorisation de déchets non dangereux,0.000,t/j
2191,0065.03069,3510,A,,2014-01-24,En fonctionnement,A,,3510,Traitement de déchets dangereux,10.000,t/j
2192,0065.03069,2790,A,,,En fonctionnement,A,2,2790,Traitement de déchets dangereux,60000.000,
2193,0065.03069,2716,E,1,,En fonctionnement,A,1,2716,déchets non dangereux non inertes (transit),200000.000,m3
2194,0065.03069,3550,A,,2014-01-24,En fonctionnement,A,,3550,stockage temporaire de déchets,45000.000,t
2195,0065.03069,2790,A,,,En fonctionnement,A,1,2790,Traitement de déchets dangereux,200000.000,
2196,0065.03069,2760,A,1,,En fonctionnement,A,1,2760,Installation de stockage de déchets dangereux autre que celle mentionnée au 4,0.000,
2197,0065.03069,3550,A,,2014-01-24,En fonctionnement,A,,3550,stockage temporaire de déchets,2800.000,t
2198,0065.03069,2791,A,1,,En fonctionnement,A,1,2791,Déchets non dangereux (traitement),60000.000,t/j
2199,0065.03069,2713,D,2,,En fonctionnement,D,2,2713,Métaux et déchets de métaux (transit),200.000,m2
2200,0065.03073,1510,,,2009-09-28,En fonctionnement,,,1510,Entrepôts couverts,500.000,t
2201,0065.03073,1432,,,2009-09-28,En fonctionnement,,,1432,Liquides inflammables (stockage),3.960,m3
2202,0065.03073,1434,D,b,2009-09-28,En fonctionnement,D,1b,1434,Liquides inflammables (remplissage ou distribution) autres que 1435,14.000,m3/h
2203,0065.03073,2716,E,1,2009-09-28,En fonctionnement,A,1,2716,déchets non dangereux non inertes (transit),50000.000,m3
2204,0065.03073,2517,E,1,2009-09-28,En fonctionnement,A,1,2517,Produits minéraux ou déchets non dangereux inertes (transit),200000.000,m3
2205,0065.03073,1418,,,2009-09-28,En fonctionnement,,,1418,Acétylène (stockage ou emploi),0.000,t
2206,0065.03073,1435,D,2,2014-07-07,En fonctionnement,D,3,1435,Stations-service,321.000,m3
2207,0065.03073,2515,E,a,2009-09-28,En fonctionnement,A,1,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",1600.000,kW
2208,0065.03090,2712,E,1,2014-11-12,En fonctionnement,E,1b,2712,"Stockage, dépollution, démontage,… de VHU",7372.000,m2
2209,0065.03106,2510,A,1,2014-11-13,En fonctionnement,A,1,2510,Carrières (exploitation de),250000.000,
2210,0065.03111,2930,,,2005-07-06,En fonctionnement,,,2930,Ateliers de réparation et d'entretien de véhicules à moteurs,140.000,m2
2211,0065.03111,2517,D,2,2005-07-06,En fonctionnement,D,2,2517,Produits minéraux ou déchets non dangereux inertes (transit),45000.000,m3
2212,0065.03111,2515,E,a,2005-07-06,En fonctionnement,A,1,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",487.200,kW
2214,0065.03111,1432,,,2005-07-06,En fonctionnement,,,1432,Liquides inflammables (stockage),6.000,m3
2215,0065.03111,1434,,,2005-07-06,En fonctionnement,,,1434,Installations de remplissage ou de distribution de liquides inflammables,2.000,m3/h
2217,0065.03133,3642,A,1,2014-02-03,En fonctionnement,A,A,2221,Production d'aliments à partir de matières premières animales,80.000,
2218,0065.03133,2910,D,2,1996-01-12,En fonctionnement,D,A2,2910,Combustion,6.840,MW
2219,0065.03133,1185,D,,2014-02-03,En fonctionnement,D,2a,1185,Quantité susceptible d'être présente,1500.000,kg
2220,0065.03133,2921,E,a,2014-11-07,En fonctionnement,E,a,2921,La puissance thermique évacuée maximale étant supérieure ou égale à 3000 kW,3985.000,kW
2221,0065.03133,2925,D,1,1996-01-12,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,88.000,kW
2222,0065.03133,3642,A,a,2014-02-03,En fonctionnement,A,A,2220,Production d'aliments à partir de matières premières végétales - capacité > 300 t/j,10.000,
2223,0065.03143,2713,E,1,,En fonctionnement,A,1,2713,Métaux et déchets de métaux (transit),1600.000,m2
2224,0065.03143,2710,E,a,2014-09-05,En fonctionnement,A,2a,2710,collecte de déchets non dangereux-E,4800.000,m3
2225,0065.03143,2791,D,2,,En fonctionnement,D,2,2791,Déchets non dangereux (traitement),9.000,t/j
2226,0065.03143,2710,A,a,2014-09-05,En fonctionnement,A,1a,2710,collecte de déchets dangereux-A,13.000,t
2227,0065.03152,2560,E,1,2015-02-02,En fonctionnement,E,1,2560,Supérieure à 1 000 kW,1200.000,kW
2228,0065.03152,1530,,,2015-02-02,En fonctionnement,,,1530,"Dépôts de papiers, cartons ou analogues",800.000,
2229,0065.03152,2940,D,b,2015-02-02,En fonctionnement,D,2b,2940,"Vernis, peinture, colle, ... (application, cuisson, séchage)",3700.000,kg/j
2230,0065.03152,2925,D,1,2016-07-04,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,230.000,kW
2231,0065.03152,2662,D,2,2015-02-02,En fonctionnement,D,3,2662,Stockage de polymères D,170.000,m3
2232,0065.03152,2575,D,,2015-02-02,En fonctionnement,D,,2575,Emploi de matières abrasives,31.330,kW
2233,0065.03152,2552,A,1,2015-02-02,En fonctionnement,A,1,2552,Fonderie (fabrication de produits moulés) métaux et alliages non ferreux,2.160,t/j
2234,0065.03152,2661,D,c,2015-02-02,En fonctionnement,D,c,2661,"MATIERES PLASTIQUES, CAOUTCHOUC...(EMPLOI OU REEMPLOI)",1.476,t/j
2235,0065.03152,2566,D,b,2015-02-02,En fonctionnement,D,b,2566,"Supérieure à 500 l, mais inférieure ou égale à 2000 l",1.800,l
2236,0065.03152,1185,,,2015-02-02,En fonctionnement,,,1185,Gaz à effet de serre fluorés ou substances qui appauvrissent la couche d'ozone,27.520,
2237,0065.03152,2564,E,a,2015-02-02,En fonctionnement,A,1,2564,Supérieur à 1 500 l,3430.000,l
2238,0065.03152,2940,D,b,2015-02-02,En fonctionnement,D,3b,2940,"Vernis, peinture, colle, ... (application, cuisson, séchage)",101.600,kg/j
2239,0065.03152,2910,D,2,2016-07-04,En fonctionnement,D,2,2910,Combustion,5.300,MW
2240,0065.03152,1510,,,2016-07-04,En fonctionnement,,,1510,Entrepôts couverts,469000.000,m3
2241,0065.03152,1432,,,2015-02-02,En fonctionnement,,,1432,Liquides inflammables (stockage),10.000,
2242,0065.03152,2565,,,2015-02-02,En fonctionnement,,,2565,Traitement de surface,100.000,
2243,0065.03162,47xx,,,,En fonctionnement,,,47xx,,,
2244,0065.03162,2910,D,2,,En fonctionnement,D,2,2910,Combustion,8.000,MW
2245,0065.03162,4331,D,3,2016-07-28,En fonctionnement,D,3,4331,Liquides inflammables de catégorie 2 ou catégorie 3,,
2246,0065.03162,2910,E,1,2016-07-28,En fonctionnement,A,1,2910,Combustion,9.600,MW
2247,0065.03162,4422,D,2,2016-07-28,En fonctionnement,D,2,4422,Peroxydes organiques type E ou type F,,
2249,0065.03167,1434,A,a,1999-03-09,En fonctionnement,A,1a,1434,Liquides inflammables (remplissage ou distribution) autres que 1435,33.600,m3/h
2250,0065.03167,1432,D,b,1999-03-09,En fonctionnement,D,2,253,Liquides inflammables (stockage),45.600,m3
2251,0065.03168,2950,D,2b,2000-11-29,En fonctionnement,D,2b,2950,Traitement et développement des surfaces photosensibles,28000.000,m2
2252,0065.03168,1450,A,1,,En fonctionnement,A,1,1450,Solides inflammables,1120.000,
2253,0065.03168,1510,D,c,2000-11-29,En fonctionnement,D,3,1510,Entrepot déclaré,5480.000,m3
2254,0065.03168,1185,D,,,En fonctionnement,D,a,4802,Quantité susceptible d'être présente,,
2255,0065.03168,4331,,,,En fonctionnement,,,4331,Liquides inflammables de catégorie 2 ou catégorie 3,,
2258,0065.03170,3230,A,b,1980-07-04,En fonctionnement,A,1,2560,opérations de forgeage,9300.000,kW
2259,0065.03170,2910,E,1,1980-08-04,En fonctionnement,A,A1,2910,Combustion,49.000,MW
2260,0065.03170,3230,A,a,,En fonctionnement,A,a,3230,exploitation de laminoirs à chaud,110.000,t/h
2261,0065.03170,3220,A,,,En fonctionnement,A,,3220,Production de fonte ou d’acier,120.000,t/h
2262,0065.03170,2545,A,,1980-07-04,En fonctionnement,A,,2545,"Fabrication d'acier, fer, fonte, ferro-alliage",350000.000,t/an
2263,0065.03170,1520,D,2,1994-09-07,En fonctionnement,D,2,1520,"Houille, coke,etc (dépôt)",140.000,t
2264,0065.03170,4510,D,2,1987-08-07,En fonctionnement,D,3,1220,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
2265,0065.03170,4510,D,2,2000-02-09,En fonctionnement,D,3,1220,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
2266,0065.03170,2517,D,2,1980-07-04,En fonctionnement,,,195,Produits minéraux ou déchets non dangereux inertes (transit),75.000,t
2267,0065.03170,1200,D,2c,,En fonctionnement,D,2c,1200,"Comburants (fabrication, emploi, stockage)",35.000,t
2268,0065.03170,1418,,,1980-07-04,En fonctionnement,,,1418,Acétylène (stockage ou emploi),70.000,kg
2269,0065.03170,2712,E,1,1980-07-04,En fonctionnement,A,,286,"Stockage, dépollution, démontage,… de VHU",1200.000,m2
2270,0065.03170,2713,E,1,1980-07-04,En fonctionnement,A,1,2713,Métaux et déchets de métaux (transit),2000.000,m2
2271,0065.03170,1432,D,b,,En fonctionnement,D,2b,1432,Liquides inflammables (stockage),18.000,m3
2272,0065.03172,2910,D,2,1988-10-14,En fonctionnement,D,A2,2910,Combustion,10.800,MW
2273,0065.03172,2920,,1,2008-10-13,En fonctionnement,,1,2920,Réfrigération ou compression (installation de) pression >10E5 Pa,44.500,kW
2274,0065.03172,2160,A,a,1988-10-14,En fonctionnement,A,1a,2160,Silos autres que plats autorisés,36069.000,m3
2275,0065.03174,4120,D,b,1996-12-30,En fonctionnement,D,b,4120,Toxicité aiguë catégorie 2,,
2276,0065.03174,4150,D,2,1996-12-30,En fonctionnement,D,2,4150,Toxicité spécifique pour certains organes cibles (STOT),,
2277,0065.03174,4331,,,1996-12-30,En fonctionnement,,,4331,Liquides inflammables de catégorie 2 ou catégorie 3,,
2278,0065.03174,2160,D,b,1996-12-30,En fonctionnement,D,1b,2160,Silos plats DC,9300.000,m3
2279,0065.03174,4330,,,1996-12-30,En fonctionnement,,,4330,Liquides inflammables de catégorie 1,,
2280,0065.03174,2160,A,a,1996-12-30,En fonctionnement,A,2a,2160,Silos autres que plats autorisés,24200.000,m3
2281,0065.03174,4130,D,b,1996-12-30,En fonctionnement,D,b,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
2282,0065.03174,47xx,,,,En fonctionnement,,,47xx,,,
2283,0065.03174,4511,,,1996-12-30,En fonctionnement,,,4511,Dangereux pour l’environnement aquatique 2,,
2286,0065.03174,4140,D,b,1996-12-30,En fonctionnement,D,b,4140,Toxicité aiguë catégorie 3 pour la voie d'exposition orale,,
2288,0065.03174,2910,D,2,1996-12-30,En fonctionnement,D,A2,2910,Combustion,8.360,MW
2290,0065.03174,4510,D,2,1996-12-30,En fonctionnement,D,2,4510,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
2292,0065.03174,4110,D,b,1996-12-30,En fonctionnement,D,b,4110,Toxicité aiguë catégorie 1,,
2293,0065.03174,2175,D,,1996-12-30,En fonctionnement,D,2,2175,Dépôts d'engrais liquides,380.000,m3
2295,0065.03174,1436,,,1996-12-30,En fonctionnement,,,1436,Liquides combustibles,60.000,t
2296,0065.03177,2566,A,a,2009-02-24,En fonctionnement,A,,2566,Supérieure à 2000 l,8.000,fours
2297,0065.03177,2921,E,a,2014-11-07,En fonctionnement,E,a,2921,La puissance thermique évacuée maximale étant supérieure ou égale à 3000 kW,4540.000,kW
2298,0065.03177,2561,D,,2009-02-24,En fonctionnement,D,,2561,"Trempé recuit, revenu des métaux et alliages",8.000,fours
2299,0065.03177,2565,D,b,2009-02-24,En fonctionnement,D,2b,2565,Traitement de surface,404.000,L
2300,0065.03177,2910,,,2009-02-24,En fonctionnement,,,2910,Installation de combustion,1.810,MW
2301,0065.03177,2564,E,a,2009-02-24,En fonctionnement,A,1,2564,Supérieur à 1 500 l,1800.000,L
2302,0065.03177,2925,D,1,2009-02-24,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,735.000,kW
2303,0065.03177,2910,,,2009-02-24,En fonctionnement,,,2910,Installation de combustion,1.420,MW
2304,0065.03180,2565,,1,1993-10-28,En fonctionnement,A,1,2565,Traitement de surface,2050.000,L
2305,0065.03180,2565,E,a,1993-10-28,En fonctionnement,A,2a,2565,Traitement de surface,26000.000,L
2306,0065.03180,2940,D,b,1993-10-28,En fonctionnement,D,2b,2940,"Vernis, peinture, colle, ... (application, cuisson, séchage)",30.000,kg/j
2307,0065.03180,2564,D,b,1993-10-28,En fonctionnement,D,3,2564,"Supérieur à 20 l, mais inférieur ou égal à 1500 l ",150.000,L
2308,0065.03183,2710,D,b,,En fonctionnement,D,1b,2710,collecte de déchets dangereux-DC,5.600,t
2309,0065.03183,3520,A,a,2014-02-11,En fonctionnement,A,a,3520,pour les déchets non dangereux,15.000,t/h
2310,0065.03183,2771,A,,2005-02-08,En fonctionnement,A,,2771,Traitement thermique de déchets non dangereux,15.000,t/h
2311,0065.03183,2710,D,b,,En fonctionnement,D,2c,2710,collecte de déchets non dangereux-DC,281.000,m3
2312,0065.03189,2712,E,1,,En fonctionnement,E,1b,2712,"Stockage, dépollution, démontage,… de VHU",3500.000,m2
2313,0065.03192,2925,D,1,2017-08-23,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,529.000,kW
2314,0065.03192,2910,D,2,2017-08-23,En fonctionnement,D,2,2910,Combustion,18.600,MW
2315,0065.03192,1185,D,,2017-08-23,En fonctionnement,D,a,4802,Quantité susceptible d'être présente,,
2316,0065.03192,1716,,,2014-11-17,En fonctionnement,,,1716,Substances radioactives,9.000,
2317,0065.03192,2921,E,a,2017-08-23,En fonctionnement,E,a,2921,La puissance thermique évacuée maximale étant supérieure ou égale à 3000 kW,1146.000,kW
2318,0065.03192,2931,A,1,2017-08-23,En fonctionnement,A,,2931,Ateliers d’essais sur banc de moteurs de puissance > à 150 kW,1920.000,kW
2319,0065.03192,47xx,,,,En fonctionnement,,,47xx,,,
2320,0065.03192,1435,D,2,2017-08-23,En fonctionnement,D,2.,1435,Stations-service,400.000,m3
2322,0065.03198,3520,A,a,,En fonctionnement,A,a,3520,pour les déchets non dangereux,17.000,t/h
2323,0065.03198,2771,A,,2005-08-23,En fonctionnement,A,,2771,Traitement thermique de déchets non dangereux,123000.000,t/an
2324,0065.03198,2715,D,,2008-06-13,En fonctionnement,D,,2715,"Transit, regroupement ou tri de déchets non dangereux de verre",48.000,m3
2325,0065.03198,47xx,,,,En fonctionnement,,,47xx,,,
2326,0065.03198,4510,D,2,2005-08-23,En fonctionnement,D,3,1172,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
2327,0065.03201,1111,A,2b,2009-03-10,En fonctionnement,A,2b,1111,Très toxiques (emploi ou stockage),0.650,t
2328,0065.03201,1131,D,2c,2009-03-10,En fonctionnement,D,2c,1131,Toxiques (emploi ou stockage),8.650,t
2329,0065.03201,3260,A,,2014-02-19,En fonctionnement,A,,3260,Traitement de surface,60.800,m3
2330,0065.03201,2565,E,a,2009-03-10,En fonctionnement,A,2a,2565,Traitement de surface,60500.000,L
2331,0065.03205,2910,D,2,2017-09-14,En fonctionnement,D,2,2910,Combustion,5.100,MW
2332,0065.03205,1185,D,,2017-09-14,En fonctionnement,D,a,4802,Quantité susceptible d'être présente,,
2333,0065.03205,2221,E,1,2017-09-14,En fonctionnement,E,B1,2221,Supérieure à 4t/j,2.200,t/j
2334,0065.03208,2510,A,1,2002-10-24,En fonctionnement,A,1,2510,Carrières (exploitation de),65000.000,t/an
2335,0065.03214,1156,D,3,2000-05-12,En fonctionnement,D,3,1156,OXYDES D'AZOTE (EMPLOI OU STOCKAGE),0.000,kg
2336,0065.03214,2340,,,1995-10-31,En fonctionnement,,,2340,"Blanchisserie, laverie de linge",4.000,t/j
2337,0065.03214,47xx,,,,En fonctionnement,,,47xx,,,
2338,0065.03214,2910,D,2,2003-12-16,En fonctionnement,D,2,2910,Combustion,6.040,MW
2339,0065.03214,1432,,,1995-10-31,En fonctionnement,,,1432,Liquides inflammables (stockage),30000.000,L
2340,0065.03218,3110,A,,1981-03-18,En fonctionnement,A,A1,2910,Combustion,104.600,MW
2341,0065.03218,3110,A,,2014-11-24,En fonctionnement,A,,3110,Combustion,86.600,MW
2342,0065.03224,2340,E,1,2000-05-26,En fonctionnement,A,1,2340,"Blanchisseries, laveries de linge",20.000,t/j
2343,0065.03224,2910,D,2,2000-05-26,En fonctionnement,D,A2,2910,Combustion,13.500,MW
2344,0065.03225,4110,D,b,2016-09-12,En fonctionnement,D,b,4110,Toxicité aiguë catégorie 1,,
